batter,runs_5yr,balls_5yr,strike_rate_5yr
Shubman Gill,2927,2037,143.6917034855179
V Kohli,2783,2023,137.5679683638161
KL Rahul,2582,1893,136.3972530375066
F du Plessis,2471,1734,142.50288350634372
JC Buttler,2406,1612,149.25558312655087
RD Gaikwad,2298,1651,139.1883706844337
SA Yadav,2287,1396,163.82521489971347
YBK Jaiswal,2126,1373,154.843408594319
SV Samson,2120,1451,146.10613370089592
RG Sharma,1816,1330,136.54135338345864
B Sai Sudharsan,1793,1229,145.89096826688365
Ishan Kishan,1787,1293,138.20572312451662
N Pooran,1772,1042,170.05758157389636
S Dube,1690,1156,146.19377162629758
Abhishek Sharma,1673,1016,164.66535433070865
S Dhawan,1572,1230,127.8048780487805
SS Iyer,1531,1053,145.39411206077872
Tilak Varma,1499,1038,144.41233140655106
RR Pant,1479,1043,141.80249280920424
VR Iyer,1468,1069,137.3246024321796
AK Markram,1440,1066,135.08442776735458
N Rana,1416,1026,138.01169590643275
H Klaasen,1414,815,173.49693251533742
HH Pandya,1400,1024,136.71875
Q de Kock,1350,1002,134.7305389221557
D Padikkal,1333,1051,126.83158896289248
R Parag,1324,903,146.62236987818383
P Simran Singh,1324,855,154.85380116959064
GJ Maxwell,1314,844,155.6872037914692
DA Warner,1313,988,132.89473684210526
RA Tripathi,1303,929,140.2583423035522
DA Miller,1227,887,138.33145434047353
SO Hetmyer,1213,782,155.11508951406648
MP Stoinis,1201,799,150.31289111389236
AD Russell,1134,690,164.34782608695653
RM Patidar,1111,720,154.30555555555557
RA Jadeja,1101,796,138.31658291457288
AM Rahane,1099,785,140.0
DP Conway,1080,773,139.71539456662353
MR Marsh,1067,707,150.9193776520509
PP Shaw,1066,692,154.04624277456648
MA Agarwal,1066,805,132.4223602484472
PD Salt,1056,601,175.7071547420965
RK Singh,1022,681,150.07342143906018
KD Karthik,1019,628,162.2611464968153
AR Patel,1003,715,140.2797202797203
JM Sharma,991,631,157.05229793977813
LS Livingstone,981,614,159.77198697068405
A Badoni,963,695,138.5611510791367
WP Saha,955,801,119.22596754057429
TM Head,941,526,178.89733840304183
SP Narine,888,526,168.8212927756654
JM Bairstow,884,591,149.57698815566835
DJ Hooda,871,689,126.41509433962264
MM Ali,858,640,134.0625
TH David,846,488,173.36065573770492
MS Dhoni,807,570,141.57894736842104
Shashank Singh,773,490,157.75510204081633
KH Pandya,756,624,121.15384615384615
R Tewatia,746,539,138.40445269016698
M Shahrukh Khan,732,491,149.08350305498982
N Wadhera,719,503,142.94234592445326
SM Curran,716,535,133.8317757009346
T Stubbs,711,433,164.20323325635104
C Green,707,460,153.69565217391303
AT Rayudu,689,507,135.8974358974359
Dhruv Jurel,680,442,153.84615384615387
MK Pandey,674,558,120.78853046594982
Abishek Porel,661,441,149.88662131519274
