batter,fours,sixes,dot_balls,boundary_runs,boundary_pct,dot_ball_pct,balls_per_boundary
Shubman Gill,285.0,95.0,618.0,1710.0,58.42,30.34,5.36
V Kohli,268.0,90.0,639.0,1612.0,57.92,31.59,5.65
KL Rahul,219.0,104.0,612.0,1500.0,58.09,32.33,5.86
F du Plessis,235.0,101.0,588.0,1546.0,62.57,33.91,5.16
JC Buttler,241.0,108.0,587.0,1612.0,67.0,36.41,4.62
RD Gaikwad,215.0,89.0,565.0,1394.0,60.66,34.22,5.43
SA Yadav,233.0,110.0,451.0,1592.0,69.61,32.31,4.07
YBK Jaiswal,257.0,90.0,535.0,1568.0,73.75,38.97,3.96
SV Samson,188.0,104.0,490.0,1376.0,64.91,33.77,4.97
RG Sharma,182.0,89.0,564.0,1262.0,69.49,42.41,4.91
B Sai Sudharsan,183.0,53.0,347.0,1050.0,58.56,28.23,5.21
Ishan Kishan,188.0,70.0,487.0,1172.0,65.58,37.66,5.01
N Pooran,125.0,128.0,339.0,1268.0,71.56,32.53,4.12
S Dube,102.0,110.0,391.0,1068.0,63.2,33.82,5.45
Abhishek Sharma,164.0,93.0,364.0,1214.0,72.56,35.83,3.95
S Dhawan,177.0,44.0,473.0,972.0,61.83,38.46,5.57
SS Iyer,125.0,69.0,319.0,914.0,59.7,30.29,5.43
Tilak Varma,113.0,74.0,323.0,896.0,59.77,31.12,5.55
RR Pant,137.0,67.0,375.0,950.0,64.23,35.95,5.11
VR Iyer,136.0,65.0,410.0,934.0,63.62,38.35,5.32
AK Markram,111.0,57.0,318.0,786.0,54.58,29.83,6.35
N Rana,134.0,69.0,400.0,950.0,67.09,38.99,5.05
H Klaasen,93.0,88.0,189.0,900.0,63.65,23.19,4.5
HH Pandya,121.0,56.0,343.0,820.0,58.57,33.5,5.79
Q de Kock,124.0,58.0,371.0,844.0,62.52,37.03,5.51
D Padikkal,141.0,48.0,435.0,852.0,63.92,41.39,5.56
R Parag,89.0,79.0,298.0,830.0,62.69,33.0,5.38
P Simran Singh,138.0,70.0,338.0,972.0,73.41,39.53,4.11
GJ Maxwell,119.0,70.0,293.0,896.0,68.19,34.72,4.47
DA Warner,153.0,41.0,398.0,858.0,65.35,40.28,5.09
RA Tripathi,134.0,48.0,330.0,824.0,63.24,35.52,5.1
DA Miller,94.0,51.0,265.0,682.0,55.58,29.88,6.12
SO Hetmyer,79.0,74.0,245.0,760.0,62.65,31.33,5.11
MP Stoinis,93.0,72.0,281.0,804.0,66.94,35.17,4.84
AD Russell,81.0,94.0,292.0,888.0,78.31,42.32,3.94
RM Patidar,76.0,68.0,224.0,712.0,64.09,31.11,5.0
RA Jadeja,83.0,41.0,224.0,578.0,52.5,28.14,6.42
AM Rahane,99.0,47.0,279.0,678.0,61.69,35.54,5.38
DP Conway,117.0,34.0,265.0,672.0,62.22,34.28,5.12
MR Marsh,95.0,61.0,264.0,746.0,69.92,37.34,4.53
PP Shaw,139.0,34.0,250.0,760.0,71.29,36.13,4.0
MA Agarwal,112.0,33.0,298.0,646.0,60.6,37.02,5.55
PD Salt,122.0,56.0,216.0,824.0,78.03,35.94,3.38
RK Singh,81.0,54.0,221.0,648.0,63.41,32.45,5.04
KD Karthik,89.0,56.0,197.0,692.0,67.91,31.37,4.33
AR Patel,77.0,51.0,243.0,614.0,61.22,33.99,5.59
JM Sharma,77.0,62.0,223.0,680.0,68.62,35.34,4.54
LS Livingstone,64.0,70.0,202.0,676.0,68.91,32.9,4.58
A Badoni,73.0,38.0,215.0,520.0,54.0,30.94,6.26
WP Saha,112.0,23.0,336.0,586.0,61.36,41.95,5.93
TM Head,114.0,47.0,178.0,738.0,78.43,33.84,3.27
SP Narine,86.0,64.0,234.0,728.0,81.98,44.49,3.51
JM Bairstow,94.0,43.0,233.0,634.0,71.72,39.42,4.31
DJ Hooda,66.0,33.0,236.0,462.0,53.04,34.25,6.96
MM Ali,74.0,44.0,254.0,560.0,65.27,39.69,5.42
TH David,54.0,60.0,147.0,576.0,68.09,30.12,4.28
