bowler,wickets_5yr,runs_conceded_5yr,balls_bowled_5yr,overs_5yr,economy_5yr,dot_balls,maidens,three_wicket_hauls,four_wicket_hauls,five_wicket_hauls,economy,bowling_average,bowling_strike_rate,dot_ball_percentage,best_bowling_figures
HV Patel,105,2230,1498,249.66666666666663,8.931909212283044,509,2,15,5,1,8.91,21.19,14.27,33.98,5/27
YS Chahal,100,2309,1661,276.8333333333333,8.340758579169176,534,1,13,7,1,8.33,23.07,16.61,32.15,5/40
Arshdeep Singh,85,2243,1505,250.83333333333331,8.9421926910299,563,1,10,3,1,8.93,26.35,17.71,37.41,5/32
Rashid Khan,83,2234,1719,286.5,7.797556719022688,573,0,7,2,0,7.8,26.92,20.71,33.33,4/24
Avesh Khan,83,2162,1439,239.83333333333331,9.014593467685891,521,1,11,1,0,9.0,26.33,17.55,36.21,4/24
CV Varun,82,1994,1558,259.6666666666667,7.6790757381258015,603,1,8,1,0,7.68,24.32,19.0,38.7,4/15
TA Boult,80,2170,1574,262.3333333333333,8.271918678526049,685,7,7,1,0,8.27,27.12,19.68,43.52,4/26
JJ Bumrah,74,1445,1245,207.5,6.963855421686747,558,2,11,3,2,6.95,19.5,16.82,44.82,5/10
Mohammed Shami,73,1742,1252,208.66666666666663,8.348242811501597,570,3,9,2,0,8.35,23.86,17.15,45.53,4/11
Mohammed Siraj,70,2265,1584,264.0,8.579545454545455,718,1,6,2,0,8.54,32.2,22.63,45.33,4/17
SP Narine,65,1775,1560,260.0,6.826923076923077,576,0,5,1,0,6.83,27.31,24.0,36.92,4/21
KK Ahmed,62,1761,1175,195.83333333333331,8.992340425531914,522,4,4,0,0,8.96,28.31,18.95,44.43,3/21
Kuldeep Yadav,62,1542,1168,194.66666666666663,7.921232876712329,374,1,6,3,0,7.92,24.85,18.84,32.02,4/14
AD Russell,62,1150,659,109.83333333333331,10.47040971168437,226,0,7,2,1,10.46,18.53,10.63,34.29,5/15
SN Thakur,62,1904,1169,194.83333333333331,9.772455089820358,389,2,5,2,0,9.7,30.98,19.16,33.28,4/33
B Kumar,62,2159,1525,254.16666666666663,8.494426229508196,629,6,4,1,1,8.47,34.71,24.6,41.25,5/30
Ravi Bishnoi,60,1861,1327,221.16666666666663,8.414468726450641,454,0,2,0,0,8.41,31.02,22.12,34.21,3/24
K Rabada,58,1628,1098,183.0,8.896174863387978,455,1,5,2,0,8.88,28.02,18.93,41.44,4/32
M Prasidh Krishna,56,1390,984,164.0,8.475609756097562,448,3,5,1,0,8.45,24.73,17.57,45.53,4/41
JR Hazlewood,56,1132,807,134.5,8.41635687732342,359,1,8,2,0,8.41,20.2,14.41,44.49,4/25
RA Jadeja,56,1718,1343,223.83333333333331,7.675353685778108,428,1,6,0,0,7.68,30.68,23.98,31.87,3/13
T Natarajan,50,1403,909,151.5,9.26072607260726,288,1,4,1,0,9.24,28.0,18.18,31.68,4/19
PJ Cummins,50,1465,944,157.33333333333334,9.3114406779661,340,1,6,0,0,9.31,29.28,18.88,36.02,3/19
R Ashwin,49,1952,1480,246.66666666666663,7.9135135135135135,453,0,2,0,0,7.91,39.8,30.2,30.61,3/17
TU Deshpande,48,1391,863,143.83333333333334,9.670915411355734,332,0,5,1,0,9.63,28.85,17.98,38.47,4/27
Noor Ahmad,48,1067,792,132.0,8.083333333333334,285,0,5,2,0,8.08,22.23,16.5,35.98,4/18
AR Patel,48,1621,1302,217.0,7.470046082949309,440,0,1,0,0,7.47,33.75,27.12,33.79,3/21
KH Pandya,47,1477,1153,192.16666666666663,7.686036426712923,378,1,5,1,0,7.68,31.38,24.53,32.78,4/44
M Pathirana,47,1016,702,117.0,8.683760683760683,260,0,5,1,0,8.66,21.55,14.94,37.04,4/28
PWH de Silva,46,1119,798,133.0,8.413533834586467,276,1,3,3,1,8.41,24.33,17.35,34.59,5/18
RD Chahar,45,1351,1028,171.33333333333334,7.885214007782101,346,1,4,1,0,7.89,30.02,22.84,33.66,4/27
