season,match_id,bowler,balls_bowled,overs,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,dot_balls,dot_ball_percentage,3w_haul,4w_haul,5w_haul,best_bowling_figures,maidens
2021,1254058,DT Christian,12,2.0,21,0,10.5,,,3,25.0,0,0,0,0/21,0
2021,1254058,HV Patel,24,4.0,27,5,6.75,5.4,4.8,12,50.0,1,1,1,5/27,0
2021,1254058,JJ Bumrah,24,4.0,26,2,6.5,13.0,12.0,10,41.67,0,0,0,2/26,0
2021,1254058,KA Jamieson,24,4.0,27,1,6.75,27.0,24.0,13,54.17,0,0,0,1/27,0
2021,1254058,KH Pandya,24,4.0,25,1,6.25,25.0,24.0,9,37.5,0,0,0,1/25,0
2021,1254058,M Jansen,24,4.0,28,2,7.0,14.0,12.0,9,37.5,0,0,0,2/28,0
2021,1254058,Mohammed Siraj,24,4.0,22,0,5.5,,,12,50.0,0,0,0,0/22,0
2021,1254058,RD Chahar,24,4.0,43,0,10.75,,,4,16.67,0,0,0,0/43,0
2021,1254058,Shahbaz Ahmed,6,1.0,14,0,14.0,,,0,0.0,0,0,0,0/14,0
2021,1254058,TA Boult,24,4.0,36,1,9.0,36.0,24.0,12,50.0,0,0,0,1/36,0
2021,1254058,Washington Sundar,6,1.0,7,1,7.0,7.0,6.0,2,33.33,0,0,0,1/7,0
2021,1254058,YS Chahal,24,4.0,41,0,10.25,,,8,33.33,0,0,0,0/41,0
2021,1254059,A Mishra,18,3.0,27,0,9.0,,,4,22.22,0,0,0,0/27,0
2021,1254059,Avesh Khan,24,4.0,23,2,5.75,11.5,12.0,11,45.83,0,0,0,2/23,0
2021,1254059,CR Woakes,18,3.0,18,2,6.0,9.0,9.0,11,61.11,0,0,0,2/18,0
2021,1254059,DJ Bravo,24,4.0,28,1,7.0,28.0,24.0,7,29.17,0,0,0,1/28,0
2021,1254059,DL Chahar,24,4.0,36,0,9.0,,,8,33.33,0,0,0,0/36,0
2021,1254059,MM Ali,18,3.0,33,0,11.0,,,2,11.11,0,0,0,0/33,0
2021,1254059,MP Stoinis,12,2.0,26,0,13.0,,,4,33.33,0,0,0,0/26,0
2021,1254059,R Ashwin,24,4.0,47,1,11.75,47.0,24.0,9,37.5,0,0,0,1/47,0
2021,1254059,RA Jadeja,12,2.0,16,0,8.0,,,2,16.67,0,0,0,0/16,0
2021,1254059,SM Curran,12,2.0,24,0,12.0,,,2,16.67,0,0,0,0/24,0
2021,1254059,SN Thakur,22,3.4,53,2,14.45,26.5,11.0,6,27.27,0,0,0,2/53,0
2021,1254059,TK Curran,24,4.0,40,1,10.0,40.0,24.0,7,29.17,0,0,0,1/40,0
2021,1254060,AD Russell,18,3.0,32,1,10.67,32.0,18.0,5,27.78,0,0,0,1/32,0
2021,1254060,B Kumar,24,4.0,45,1,11.25,45.0,24.0,10,41.67,0,0,0,1/45,0
2021,1254060,CV Varun,24,4.0,36,0,9.0,,,6,25.0,0,0,0,0/36,0
2021,1254060,Harbhajan Singh,6,1.0,8,0,8.0,,,3,50.0,0,0,0,0/8,0
2021,1254060,M Prasidh Krishna,24,4.0,35,2,8.75,17.5,12.0,11,45.83,0,0,0,2/35,0
2021,1254060,Mohammad Nabi,24,4.0,32,2,8.0,16.0,12.0,9,37.5,0,0,0,2/32,0
2021,1254060,PJ Cummins,24,4.0,30,1,7.5,30.0,24.0,9,37.5,0,0,0,1/30,0
2021,1254060,Rashid Khan,24,4.0,24,2,6.0,12.0,12.0,10,41.67,0,0,0,2/24,0
