bowler,wickets_5yr,runs_conceded_5yr,balls_bowled_5yr,overs_5yr,economy_5yr
HV Patel,105,2230,1498,249.66666666666666,8.931909212283044
YS Chahal,100,2309,1661,276.8333333333333,8.340758579169176
Arshdeep Singh,85,2243,1505,250.83333333333334,8.9421926910299
Rashid Khan,83,2234,1719,286.5,7.797556719022688
Avesh Khan,83,2162,1439,239.83333333333334,9.014593467685893
CV Varun,82,1994,1558,259.6666666666667,7.6790757381258015
TA Boult,80,2170,1574,262.3333333333333,8.271918678526049
JJ Bumrah,74,1445,1245,207.5,6.963855421686747
Mohammed Shami,73,1742,1252,208.66666666666666,8.348242811501597
Mohammed Siraj,70,2265,1584,264.0,8.579545454545455
SP Narine,65,1775,1560,260.0,6.826923076923077
KK Ahmed,62,1761,1175,195.83333333333334,8.992340425531914
Kuldeep Yadav,62,1542,1168,194.66666666666666,7.921232876712329
AD Russell,62,1150,659,109.83333333333333,10.47040971168437
SN Thakur,62,1904,1169,194.83333333333334,9.772455089820358
B Kumar,62,2159,1525,254.16666666666666,8.494426229508196
Ravi Bishnoi,60,1861,1327,221.16666666666666,8.414468726450641
K Rabada,58,1628,1098,183.0,8.896174863387978
M Prasidh Krishna,56,1390,984,164.0,8.475609756097562
JR Hazlewood,56,1132,807,134.5,8.41635687732342
RA Jadeja,56,1718,1343,223.83333333333334,7.675353685778108
T Natarajan,50,1403,909,151.5,9.26072607260726
PJ Cummins,50,1465,944,157.33333333333334,9.3114406779661
R Ashwin,49,1952,1480,246.66666666666666,7.9135135135135135
TU Deshpande,48,1391,863,143.83333333333334,9.670915411355734
Noor Ahmad,48,1067,792,132.0,8.083333333333334
AR Patel,48,1621,1302,217.0,7.470046082949309
KH Pandya,47,1477,1153,192.16666666666666,7.686036426712923
M Pathirana,47,1016,702,117.0,8.683760683760683
PWH de Silva,46,1119,798,133.0,8.413533834586467
RD Chahar,45,1351,1028,171.33333333333334,7.885214007782101
DL Chahar,43,1326,915,152.5,8.695081967213115
MM Sharma,42,1043,649,108.16666666666667,9.642526964560862
Mustafizur Rahman,41,1164,817,136.16666666666666,8.548347613219095
Yash Dayal,41,1390,871,145.16666666666666,9.575200918484501
LH Ferguson,41,1106,724,120.66666666666667,9.16574585635359
Harshit Rana,40,1029,649,108.16666666666667,9.513097072419106
A Nortje,39,1145,730,121.66666666666667,9.410958904109588
Mukesh Kumar,37,1102,636,106.0,10.39622641509434
Sandeep Sharma,37,1437,988,164.66666666666666,8.72672064777328
SM Curran,36,1366,803,133.83333333333334,10.206724782067248
PP Chawla,36,845,600,100.0,8.45
VG Arora,36,1016,638,106.33333333333333,9.55485893416928
M Jansen,36,1149,733,122.16666666666667,9.405184174624829
M Theekshana,36,1207,876,146.0,8.267123287671232
HH Pandya,36,1179,759,126.5,9.320158102766799
Harpreet Brar,35,996,757,126.16666666666667,7.894319682959049
JO Holder,34,922,611,101.83333333333333,9.054009819967268
R Sai Kishore,32,651,441,73.5,8.857142857142858
MM Ali,31,721,595,99.16666666666667,7.270588235294118
MA Starc,31,844,484,80.66666666666667,10.462809917355372
DJ Bravo,30,562,408,68.0,8.264705882352942
Umran Malik,29,772,493,82.16666666666667,9.39553752535497
JD Unadkat,29,944,630,105.0,8.99047619047619
Mohsin Khan,27,689,486,81.0,8.506172839506172
UT Yadav,25,738,528,88.0,8.386363636363637
Yash Thakur,25,770,443,73.83333333333333,10.428893905191874
I Sharma,25,773,494,82.33333333333333,9.388663967611336
Naveen-ul-Haq,25,591,387,64.5,9.162790697674419
KV Sharma,24,605,363,60.5,10.0
Akash Madhwal,24,590,352,58.666666666666664,10.056818181818182
GJ Maxwell,22,633,476,79.33333333333333,7.9789915966386555
M Markande,21,642,420,70.0,9.17142857142857
Shahbaz Ahmed,20,895,552,92.0,9.728260869565217
C Sakariya,20,638,444,74.0,8.621621621621621
TG Southee,19,449,318,53.0,8.471698113207546
RP Meredith,19,612,388,64.66666666666667,9.463917525773196
MJ Santner,19,588,477,79.5,7.39622641509434
NT Ellis,19,546,378,63.0,8.666666666666666
Suyash Sharma,18,814,558,93.0,8.75268817204301
MR Marsh,17,375,241,40.166666666666664,9.336099585062241
Vijaykumar Vyshak,17,576,333,55.5,10.378378378378379
Mukesh Choudhary,17,522,315,52.5,9.942857142857143
C Green,16,664,439,73.16666666666667,9.075170842824601
Shivam Mavi,16,460,325,54.166666666666664,8.492307692307692
MP Stoinis,16,597,343,57.166666666666664,10.443148688046648
G Coetzee,15,472,273,45.5,10.373626373626374
AS Joseph,15,604,382,63.666666666666664,9.486910994764399
Washington Sundar,15,687,465,77.5,8.864516129032259
CH Morris,15,376,246,41.0,9.170731707317072
JP Behrendorff,14,387,252,42.0,9.214285714285714
DS Rathi,14,429,312,52.0,8.25
KA Jamieson,14,416,258,43.0,9.674418604651162
KR Sen,14,387,241,40.166666666666664,9.634854771784234
A Mishra,14,278,210,35.0,7.942857142857143
DR Sams,14,409,288,48.0,8.520833333333334
E Malinga,13,238,160,26.666666666666668,8.924999999999999
LS Livingstone,13,456,306,51.0,8.941176470588236
JC Archer,13,621,393,65.5,9.48091603053435
PVD Chameera,13,630,384,64.0,9.84375
K Kartikeya,12,407,282,47.0,8.659574468085106
Arshad Khan,12,497,260,43.333333333333336,11.46923076923077
Azmatullah Omarzai,12,465,288,48.0,9.6875
MA Wood,11,130,96,16.0,8.125
OC McCoy,11,250,161,26.833333333333332,9.316770186335404
Simarjeet Singh,11,400,240,40.0,10.0
V Nigam,11,356,234,39.0,9.128205128205128
J Little,11,339,228,38.0,8.921052631578947
Ashwani Kumar,11,232,123,20.5,11.317073170731707
Rasikh Salam,10,367,207,34.5,10.63768115942029
M Ashwin,10,378,264,44.0,8.590909090909092
Akash Deep,10,548,278,46.333333333333336,11.827338129496402
Lalit Yadav,10,425,288,48.0,8.854166666666666
A Zampa,10,282,180,30.0,9.4
A Kamboj,10,286,189,31.5,9.079365079365079
R Shepherd,10,408,210,35.0,11.657142857142857
WD Parnell,9,236,151,25.166666666666668,9.37748344370861
N Thushara,9,283,180,30.0,9.433333333333334
MP Yadav,9,185,121,20.166666666666668,9.173553719008265
L Ngidi,9,206,120,20.0,10.3
CJ Jordan,9,468,281,46.833333333333336,9.992882562277579
Akash Singh,9,326,205,34.166666666666664,9.541463414634148
KA Pollard,9,220,163,27.166666666666668,8.098159509202453
Abhishek Sharma,8,389,264,44.0,8.840909090909092
K Gowtham,8,246,180,30.0,8.2
Yudhvir Singh,8,253,138,23.0,11.0
WG Jacks,8,220,138,23.0,9.565217391304348
R Tewatia,8,431,271,45.166666666666664,9.542435424354244
S Kaul,7,290,204,34.0,8.529411764705882
