season,bowler,matches,balls_bowled,runs_conceded,wickets,dot_balls,maidens,three_wicket_hauls,four_wicket_hauls,five_wicket_hauls,economy,bowling_average,bowling_strike_rate,dot_ball_percentage,overs,best_bowling_figures
2021,A Mishra,4,84,109,6,25,0,1,1,0,7.79,18.17,14.0,29.76,14.0,4/24
2021,A Nortje,8,182,187,12,84,1,0,0,0,6.16,15.58,15.17,46.15,30.2,2/12
2021,AD Russell,8,114,188,11,39,0,2,1,1,9.89,17.09,10.36,34.21,19.0,5/15
2021,AF Milne,4,84,131,3,31,0,0,0,0,9.36,43.67,28.0,36.9,14.0,2/21
2021,AK Markram,2,24,23,0,9,0,0,0,0,5.75,,,37.5,4.0,0/5
2021,AR Patel,12,282,312,15,102,0,1,0,0,6.64,20.8,18.8,36.17,47.0,3/21
2021,AU Rashid,1,18,35,0,6,0,0,0,0,11.67,,,33.33,3.0,0/35
2021,Abdul Samad,1,6,9,1,1,0,0,0,0,9.0,9.0,6.0,16.67,1.0,1/9
2021,Abhishek Sharma,6,60,64,4,25,0,0,0,0,6.4,16.0,15.0,41.67,10.0,2/4
2021,Akash Singh,1,24,39,0,7,0,0,0,0,9.75,,,29.17,4.0,0/39
2021,Arshdeep Singh,12,248,341,18,88,0,3,1,1,8.25,18.94,13.78,35.48,41.2,5/32
2021,Avesh Khan,16,366,449,24,156,0,4,0,0,7.36,18.71,15.25,42.62,61.0,3/13
2021,B Kumar,11,252,335,6,103,1,0,0,0,7.98,55.83,42.0,40.87,42.0,1/16
2021,BA Stokes,1,6,12,0,2,0,0,0,0,12.0,,,33.33,1.0,0/12
2021,C Sakariya,14,312,425,14,113,1,2,0,0,8.17,30.36,22.29,36.22,52.0,3/31
2021,CH Morris,11,246,374,15,91,0,2,1,0,9.12,24.93,16.4,36.99,41.0,4/23
2021,CJ Jordan,4,72,96,4,27,0,0,0,0,8.0,24.0,18.0,37.5,12.0,2/20
2021,CR Woakes,3,66,82,5,33,0,0,0,0,7.45,16.4,13.2,50.0,11.0,2/18
2021,CV Varun,17,408,448,18,149,0,1,0,0,6.59,24.89,22.67,36.52,68.0,3/13
2021,DJ Bravo,11,202,261,14,73,0,2,0,0,7.75,18.64,14.43,36.14,33.4,3/24
2021,DJ Hooda,7,96,136,2,31,0,0,0,0,8.5,68.0,48.0,32.29,16.0,1/15
2021,DL Chahar,15,324,451,14,132,1,2,2,0,8.35,32.21,23.14,40.74,54.0,4/13
2021,DR Sams,2,36,39,1,15,0,0,0,0,6.5,39.0,36.0,41.67,6.0,1/24
2021,DS Kulkarni,1,24,48,0,7,0,0,0,0,12.0,,,29.17,4.0,0/48
2021,DT Christian,9,100,155,4,29,0,0,0,0,9.3,38.75,25.0,29.0,16.4,2/14
2021,FA Allen,3,66,90,1,20,1,0,0,0,8.18,90.0,66.0,30.3,11.0,1/22
2021,GD Phillips,2,12,20,1,4,0,0,0,0,10.0,20.0,12.0,33.33,2.0,1/17
2021,GHS Garton,5,90,135,3,32,0,0,0,0,9.0,45.0,30.0,35.56,15.0,1/27
2021,GJ Maxwell,6,96,135,3,25,0,0,0,0,8.44,45.0,32.0,26.04,16.0,2/23
2021,HV Patel,15,338,457,32,122,0,6,2,1,8.11,14.28,10.56,36.09,56.2,5/27
2021,Harbhajan Singh,3,42,63,0,19,0,0,0,0,9.0,,,45.24,7.0,0/8
2021,Harpreet Brar,7,138,139,5,56,1,1,0,0,6.04,27.8,27.6,40.58,23.0,3/19
2021,I Sharma,3,72,97,1,26,2,0,0,0,8.08,97.0,72.0,36.11,12.0,1/26
2021,IC Porel,1,24,39,1,10,0,0,0,0,9.75,39.0,24.0,41.67,4.0,1/39
2021,Imran Tahir,1,24,16,2,14,0,0,0,0,4.0,8.0,12.0,58.33,4.0,2/16
2021,J Suchith,2,42,66,0,11,0,0,0,0,9.43,,,26.19,7.0,0/21
2021,J Yadav,5,102,130,2,44,0,0,0,0,7.65,65.0,51.0,43.14,17.0,1/25
