player,role,nationality
Hardik Pandya,All-Rounder,Indian
Jasprit Bumrah,Fast Bowler,Indian
Suryakumar Yadav,Batter,Indian
Tilak Varma,Batter,Indian
Rohit Sharma,Batter,Indian
Naman Dhir,All-Rounder,Indian
Robin Minz,Wicket Keeper,Indian
Ryan Rickelton,Wicket Keeper,Overseas
Will Jacks,All-Rounder,Overseas
Mitchell Santner,Spin All-Rounder,Overseas
Deepak Chahar,Fast Bowler,Indian
Trent Boult,Fast Bowler,Overseas
Reece Topley,Fast Bowler,Overseas
Karn Sharma,Spinner,Indian
Mujeeb Ur Rahman,Spinner,Overseas
