batter,highest_score,thirties,fifties,hundreds,ducks
A Badoni,74,12,6,0,2
A Kamboj,5,0,0,0,1
A Manohar,43,4,0,0,2
A Mhatre,94,5,1,0,1
A Mishra,19,0,0,0,0
A Nortje,23,0,0,0,2
A Raghuvanshi,54,8,2,0,0
A Tomar,4,0,0,0,0
A Zampa,7,0,0,0,0
AA Kulkarni,9,0,0,0,1
AB de Villiers,76,3,2,0,1
AD Russell,70,16,4,0,4
AF Milne,15,0,0,0,1
AJ Finch,58,1,1,0,0
AJ Hosein,16,0,0,0,0
AJ Turner,16,0,0,0,0
AK Markram,68,21,10,0,2
AM Rahane,71,15,5,0,0
AR Patel,66,11,3,0,2
AS Joseph,7,0,0,0,1
AS Roy,13,0,0,0,3
AT Rayudu,78,6,3,0,3
AU Rashid,18,0,0,0,0
Abdul Basith,1,0,0,0,0
Abdul Samad,45,5,0,0,3
Abhishek Sharma,141,27,9,1,3
Abishek Porel,65,12,3,0,2
Akash Deep,17,0,0,0,2
Akash Madhwal,4,0,0,0,0
Aman Hakim Khan,51,1,1,0,1
Aniket Verma,74,2,1,0,0
Anmolpreet Singh,36,3,0,0,1
Anuj Rawat,66,2,1,0,4
Arjun Tendulkar,13,0,0,0,0
Arshad Khan,58,1,1,0,1
Arshad Khan (2),5,0,0,0,0
Arshdeep Singh,10,0,0,0,2
Ashutosh Sharma,66,7,2,0,0
Atharva Taide,66,3,2,0,1
Avesh Khan,19,0,0,0,1
Azmatullah Omarzai,21,0,0,0,0
B Indrajith,15,0,0,0,1
B Kumar,27,0,0,0,1
B Sai Sudharsan,108,29,12,2,0
BA Stokes,8,0,0,0,1
BKG Mendis,20,0,0,0,0
BR Sharath,2,0,0,0,0
C Bosch,27,0,0,0,0
C Green,100,12,2,1,0
C Sakariya,7,0,0,0,1
CA Lynn,49,1,0,0,0
CH Gayle,46,3,0,0,1
CH Morris,36,1,0,0,2
CJ Jordan,30,1,0,0,0
CR Woakes,15,0,0,0,0
CV Varun,10,0,0,0,0
D Brevis,57,9,2,0,2
D Ferreira,7,0,0,0,0
D Padikkal,101,18,6,1,6
D Pretorius,22,0,0,0,1
D Wiese,12,0,0,0,0
DA Miller,94,16,4,0,2
DA Warner,92,20,14,0,4
DG Nalkande,12,0,0,0,1
DJ Bravo,23,0,0,0,1
DJ Hooda,64,9,6,0,3
DJ Malan,26,0,0,0,0
DJ Mitchell,63,4,2,0,0
DJ Willey,20,0,0,0,1
DL Chahar,28,0,0,0,1
DP Conway,92,16,11,0,3
DR Sams,15,0,0,0,2
DS Rathi,1,0,0,0,0
DT Christian,9,0,0,0,1
Dhruv Jurel,70,11,4,0,3
E Lewis,58,3,2,0,0
EJG Morgan,47,1,0,0,3
F du Plessis,96,34,23,0,4
FA Allen,8,0,0,0,0
Fazalhaq Farooqi,2,0,0,0,0
G Coetzee,12,0,0,0,1
GD Phillips,25,0,0,0,1
GHS Garton,2,0,0,0,1
GJ Maxwell,78,19,12,0,9
Gulbadin Naib,19,0,0,0,0
H Klaasen,105,21,7,2,0
HC Brook,100,1,0,1,3
HE van der Dussen,12,0,0,0,0
