batter,matches,innings,not_outs,outs,runs,balls,average,strike_rate,highest_score,fifties,hundreds,50_plus_scores,fours,sixes,boundary_runs,boundary_runs_pct,boundary_ball_pct,runs_per_innings,balls_per_innings
Abhishek Sharma,7,7,0.0,7.0,341,178,48.71,191.57,112,3.0,1.0,4.0,26.0,27.0,266.0,78.01,29.78,48.71,25.43
Anmolpreet Singh,7,7,1.0,6.0,334,174,55.67,191.95,113,1.0,1.0,2.0,31.0,20.0,244.0,73.05,29.31,47.71,24.86
AM Rahane,6,6,2.0,4.0,334,224,83.5,149.11,98,3.0,0.0,3.0,32.0,11.0,194.0,58.08,19.2,55.67,37.33
Priyansh Arya,6,6,0.0,6.0,240,154,40.0,155.84,81,2.0,0.0,2.0,23.0,14.0,176.0,73.33,24.03,40.0,25.67
RM Patidar,6,6,2.0,4.0,234,134,58.5,174.63,81,3.0,0.0,3.0,16.0,17.0,166.0,70.94,24.63,39.0,22.33
RK Singh,6,6,4.0,2.0,229,124,114.5,184.68,77,3.0,0.0,3.0,19.0,12.0,148.0,64.63,25.0,38.17,20.67
A Badoni,6,6,4.0,2.0,223,172,111.5,129.65,80,1.0,0.0,1.0,20.0,8.0,128.0,57.4,16.28,37.17,28.67
Anuj Rawat,6,6,2.0,4.0,207,151,51.75,137.09,73,1.0,0.0,1.0,23.0,7.0,134.0,64.73,19.87,34.5,25.17
Sameer Rizvi,6,6,2.0,4.0,197,148,49.25,133.11,59,1.0,0.0,1.0,15.0,12.0,132.0,67.01,18.24,32.83,24.67
N Rana,6,6,1.0,5.0,192,156,38.4,123.08,71,1.0,0.0,1.0,21.0,5.0,114.0,59.38,16.67,32.0,26.0
KH Pandya,6,6,1.0,5.0,184,154,36.8,119.48,56,1.0,0.0,1.0,17.0,3.0,86.0,46.74,12.99,30.67,25.67
Harpreet Singh,6,6,2.0,4.0,171,152,42.75,112.5,53,1.0,0.0,1.0,17.0,5.0,98.0,57.31,14.47,28.5,25.33
Abhishek Goswami,5,5,0.0,5.0,160,129,32.0,124.03,77,1.0,0.0,1.0,18.0,6.0,108.0,67.5,18.6,32.0,25.8
RK Bhui,2,2,2.0,0.0,144,70,144.0,205.71,104,0.0,1.0,1.0,10.0,12.0,112.0,77.78,31.43,72.0,35.0
Mandeep Singh,6,6,1.0,5.0,140,102,28.0,137.25,63,1.0,0.0,1.0,13.0,3.0,70.0,50.0,15.69,23.33,17.0
N Wadhera,4,4,2.0,2.0,128,81,64.0,158.02,61,2.0,0.0,2.0,10.0,7.0,82.0,64.06,20.99,32.0,20.25
